ubigeo,anio,ninos_evaluados,ninos_con_anemia,ninos_sin_anemia,prevalencia_anemia,gasto_total,gasto_anemia_pan,departamento,provincia,distrito,region,macroregion_inei,macroregion_minsa,capital,latitude,longitude,altitude,superficie,pob_densidad_2020,pct_cultivo,pct_construido,pct_desnudo,pct_agua_visible,n_edificios,area_construida_m2,confianza_media,area_distrito_km2,densidad_edificios_km2,elevacion_media,pendiente_media,pct_agua_permanente,pct_agua_estacional,personal_total,programa_anemia,centro_salud_municipal,personal_total_missing,programa_anemia_missing,centro_salud_municipal_missing,gasto_total_percapita,gasto_anemia_pan_percapita,log_gasto_total_percapita,log_gasto_anemia_pan_percapita,flag_gasto_outlier_administrativo
150128,2022,1356.0,436.0,920.0,0.3215339233038348,9994141530.55,341359.49,LIMA,LIMA,RIMAC,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,Rímac,-12.0422222222222,-77.0269444444444,153.0,11.87,18785.2569502949,7.303250433326191e-05,0.6821115615895995,0.2646027776409412,0.0012885224980209,39177.0,3793273.579015969,0.7644173877023855,12.166712758585495,3220.0151986291094,191.8648747418798,10.569064281345971,0.0241683252772249,0.95166334944555,401.0,1.0,0.0,0,0,1,7370310.863237463,251.74003687315633,15.812970578499218,5.5323614382241555,True
150128,2023,2889.0,551.0,2338.0,0.1907234337140879,10275990123.03,0.0,LIMA,LIMA,RIMAC,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,Rímac,-12.0422222222222,-77.0269444444444,153.0,11.87,18785.2569502949,7.303250433326191e-05,0.6821115615895995,0.2646027776409412,0.0012885224980209,39177.0,3793273.579015969,0.7644173877023855,12.166712758585495,3220.0151986291094,191.8648747418798,10.569064281345971,0.0241683252772249,0.95166334944555,305.0,1.0,0.0,0,0,0,3556936.6988681206,0.0,15.08441053569936,0.0,True
150128,2024,3021.0,364.0,2657.0,0.1204899040052962,10020599732.36,0.0,LIMA,LIMA,RIMAC,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,Rímac,-12.0422222222222,-77.0269444444444,153.0,11.87,18785.2569502949,7.303250433326191e-05,0.6821115615895995,0.2646027776409412,0.0012885224980209,39177.0,3793273.579015969,0.7644173877023855,12.166712758585495,3220.0151986291094,191.8648747418798,10.569064281345971,0.0241683252772249,0.95166334944555,18.0,0.0,0.0,1,1,0,3316981.043482291,0.0,15.014565904433166,0.0,True
150130,2021,207.0,7.0,200.0,0.0338164251207729,7871484449.16,7563099.07,LIMA,LIMA,SAN BORJA,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Francisco de Borja,-12.1072222222222,-76.9988888888889,170.0,9.96,15161.4457831325,0.0,0.9330954817495746,0.001732397659815,0.0,24175.0,3240230.9577874746,0.7622906927953955,10.367065721494942,2331.903804745432,160.0694908036291,2.5560902629039592,0.0,1.0,1646.0,1.0,0.0,0,0,0,38026494.92347826,36536.71048309179,17.45379373586121,10.506100170144387,True
150130,2022,346.0,71.0,275.0,0.2052023121387283,6752987115.28,1608939.48,LIMA,LIMA,SAN BORJA,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Francisco de Borja,-12.1072222222222,-76.9988888888889,170.0,9.96,15161.4457831325,0.0,0.9330954817495746,0.001732397659815,0.0,24175.0,3240230.9577874746,0.7622906927953955,10.367065721494942,2331.903804745432,160.0694908036291,2.5560902629039592,0.0,1.0,1577.0,1.0,1.0,0,0,0,19517303.801387284,4650.114104046243,16.786812055716748,8.444862062151767,True
150130,2023,1391.0,271.0,1120.0,0.1948238677210639,10784702334.79,0.0,LIMA,LIMA,SAN BORJA,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Francisco de Borja,-12.1072222222222,-76.9988888888889,170.0,9.96,15161.4457831325,0.0,0.9330954817495746,0.001732397659815,0.0,24175.0,3240230.9577874746,0.7622906927953955,10.367065721494942,2331.903804745432,160.0694908036291,2.5560902629039592,0.0,1.0,1685.0,1.0,1.0,0,0,0,7753200.815808771,0.0,15.863616453535434,0.0,True
150130,2024,1034.0,128.0,906.0,0.1237911025145067,6883119402.25,0.0,LIMA,LIMA,SAN BORJA,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Francisco de Borja,-12.1072222222222,-76.9988888888889,170.0,9.96,15161.4457831325,0.0,0.9330954817495746,0.001732397659815,0.0,24175.0,3240230.9577874746,0.7622906927953955,10.367065721494942,2331.903804745432,160.0694908036291,2.5560902629039592,0.0,1.0,18.0,0.0,1.0,1,1,0,6656788.590183753,0.0,15.711147882780292,0.0,True
150131,2021,170.0,10.0,160.0,0.0588235294117647,18270029296.62,61255.0,LIMA,LIMA,SAN ISIDRO,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Isidro,-12.0977777777778,-77.0272222222222,195.0,11.1,8263.33333333333,5.217457760637737e-05,0.8880443792548004,0.002781051957061,0.0010232830889701,19865.0,3077820.055989938,0.7687204682613962,9.801323192711498,2026.7671629043,107.66468892883243,3.482747317688314,0.8208725931995086,0.1399528881605899,2315.0,1.0,1.0,0,0,0,107470760.56835294,360.3235294117647,18.49272938312658,5.889773760339118,True
150131,2022,130.0,29.0,101.0,0.2230769230769231,12405777887.79,160205.7,LIMA,LIMA,SAN ISIDRO,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Isidro,-12.0977777777778,-77.0272222222222,195.0,11.1,8263.33333333333,5.217457760637737e-05,0.8880443792548004,0.002781051957061,0.0010232830889701,19865.0,3077820.055989938,0.7687204682613962,9.801323192711498,2026.7671629043,107.66468892883243,3.482747317688314,0.8208725931995086,0.1399528881605899,2281.0,1.0,1.0,0,0,0,95429060.6753077,1232.3515384615384,18.37389371974851,7.117490570770026,True
150131,2023,278.0,25.0,253.0,0.0899280575539568,12354848331.23,0.0,LIMA,LIMA,SAN ISIDRO,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Isidro,-12.0977777777778,-77.0272222222222,195.0,11.1,8263.33333333333,5.217457760637737e-05,0.8880443792548004,0.002781051957061,0.0010232830889701,19865.0,3077820.055989938,0.7687204682613962,9.801323192711498,2026.7671629043,107.66468892883243,3.482747317688314,0.8208725931995086,0.1399528881605899,1802.0,1.0,1.0,0,0,0,44441900.47205036,0.0,17.609693309220223,0.0,True
