ubigeo,personal_total,programa_anemia,centro_salud_municipal,Año
030206,4,1,0,2021
030207,16,1,1,2021
030208,6,1,0,2021
030209,52,1,0,2021
030210,5,1,0,2021
030211,4,0,0,2021
030212,12,1,0,2021
030213,54,1,0,2021
030214,6,0,0,2021
030215,20,0,0,2021
030216,106,1,0,2021
030217,6,0,0,2021
030218,10,1,0,2021
030219,7,1,0,2021
030220,11,1,0,2021
030301,38,1,0,2021
030302,1,0,0,2021
030303,1,0,0,2021
030304,2,0,0,2021
030305,5,0,0,2021
030306,1,0,0,2021
030307,2,1,0,2021
030401,55,0,0,2021
030402,13,0,0,2021
030403,3,1,0,2021
030404,7,0,0,2021
030405,2,1,0,2021
030406,9,1,0,2021
030407,10,0,0,2021
030408,2,0,0,2021
030409,3,1,0,2021
030410,14,0,0,2021
030411,8,0,0,2021
030412,2,1,0,2021
030413,3,0,0,2021
030414,1,1,0,2021
030415,4,1,0,2021
030416,2,0,0,2021
030417,3,0,0,2021
030501,210,1,0,2021
030502,45,0,0,2021
030503,77,1,0,2021
030504,71,1,0,2021
030505,116,1,0,2021
030506,45,1,0,2021
030601,113,1,0,2021
030602,28,1,0,2021
030603,11,1,0,2021
030604,26,1,0,2021
030605,20,1,0,2021
030606,10,1,0,2021
030607,12,1,0,2021
030608,30,1,1,2021
030609,4,1,0,2021
030610,8,0,0,2021
030611,1,0,0,2021
030701,34,1,0,2021
030702,4,0,0,2021
030703,8,0,0,2021
030704,4,1,0,2021
030705,15,1,0,2021
030706,8,0,0,2021
030707,4,1,0,2021
030708,4,0,0,2021
030709,2,1,0,2021
030710,2,1,0,2021
030711,5,1,0,2021
030712,11,0,0,2021
030713,10,0,0,2021
030714,1,1,0,2021
040101,1738,1,1,2021
040102,425,1,0,2021
040103,542,1,0,2021
040104,893,1,0,2021
040105,34,0,0,2021
040106,6,1,0,2021
040107,260,1,0,2021
040108,129,0,0,2021
040109,239,1,0,2021
040110,351,1,0,2021
040111,15,0,0,2021
040112,480,1,0,2021
040113,9,1,0,2021
040114,4,0,0,2021
040115,13,0,0,2021
040116,44,1,0,2021
040117,278,1,0,2021
040118,9,0,0,2021
040119,26,1,0,2021
040120,8,1,0,2021
040121,35,0,0,2021
040122,297,0,0,2021
040123,85,1,0,2021
040124,80,1,0,2021
040125,25,0,0,2021
040126,403,0,0,2021
040127,17,1,0,2021
040128,209,0,0,2021
040129,877,1,0,2021
040201,206,1,0,2021
040202,18,0,0,2021
040203,10,1,0,2021
040204,10,0,0,2021
040205,17,0,0,2021
040206,28,0,0,2021
040207,4,0,0,2021
040208,72,0,0,2021
040301,58,0,0,2021
040302,22,0,0,2021
040303,9,0,0,2021
040304,9,1,0,2021
040305,35,1,0,2021
040306,3,0,0,2021
040307,40,1,0,2021
040308,13,0,0,2021
040309,12,1,0,2021
040310,7,0,0,2021
040311,6,0,0,2021
040312,15,1,0,2021
040313,13,0,0,2021
040401,57,0,0,2021
040402,3,0,0,2021
040403,9,0,0,2021
040404,13,1,0,2021
040405,7,0,1,2021
040406,6,1,0,2021
040407,11,1,0,2021
040408,9,1,0,2021
040409,9,0,0,2021
040410,6,0,0,2021
040411,9,1,0,2021
040412,1,0,0,2021
040413,34,0,0,2021
040414,4,1,0,2021
040501,96,0,0,2021
040502,12,0,0,2021
040503,7,0,0,2021
040504,9,1,1,2021
040505,5,1,0,2021
040506,6,0,0,2021
040507,7,1,0,2021
040508,1,0,0,2021
040509,0,0,0,2021
040510,6,0,0,2021
040511,9,1,0,2021
040512,4,0,0,2021
040513,6,0,0,2021
040514,11,0,0,2021
040515,5,1,0,2021
040516,4,0,0,2021
040517,7,1,0,2021
040518,6,0,0,2021
040519,4,0,0,2021
040520,354,1,0,2021
040601,43,0,0,2021
040602,6,1,1,2021
040603,4,1,0,2021
040604,8,1,0,2021
040605,1,1,0,2021
040606,10,0,1,2021
040607,6,1,0,2021
040608,15,1,0,2021
040701,296,1,0,2021
040702,92,0,0,2021
040703,64,0,0,2021
040704,116,0,0,2021
040705,60,1,0,2021
040706,74,1,0,2021
040801,16,1,0,2021
040802,7,1,0,2021
040803,4,0,0,2021
040804,4,0,0,2021
040805,5,0,0,2021
040806,5,1,0,2021
040807,2,0,0,2021
040808,2,0,0,2021
040809,4,1,0,2021
040810,5,0,0,2021
040811,6,0,0,2021
050101,844,1,1,2021
050102,27,1,1,2021
050103,9,1,0,2021
050104,101,1,0,2021
050105,11,0,0,2021
050106,16,1,0,2021
050107,10,0,0,2021
050108,18,0,0,2021
050109,14,1,0,2021
050110,152,1,1,2021
050111,9,1,0,2021
050112,17,1,0,2021
050113,17,1,1,2021
050114,35,0,0,2021
050115,90,0,0,2021
050116,173,1,0,2021
050201,80,1,0,2021
050202,18,1,0,2021
050203,23,1,0,2021
050204,21,1,0,2021
050205,23,1,0,2021
050206,11,0,0,2021
050301,35,1,0,2021
050302,9,0,0,2021
050303,10,0,0,2021
050304,21,1,0,2021
050401,271,1,0,2021
050402,19,1,0,2021
050403,19,1,0,2021
050404,13,1,0,2021
050405,19,1,0,2021
050406,12,0,0,2021
050407,33,0,0,2021
050408,49,1,1,2021
050409,13,0,0,2021
050410,23,1,0,2021
050411,12,1,0,2021
050412,8,1,0,2021
050501,109,0,0,2021
050502,13,1,0,2021
050503,32,1,0,2021
050504,3,0,1,2021
050505,14,1,0,2021
050506,9,0,0,2021
050507,37,1,0,2021
050508,57,1,0,2021
050509,30,1,0,2021
050510,20,1,0,2021
050511,12,1,0,2021
050601,109,1,0,2021
050602,8,0,0,2021
050603,17,1,0,2021
050604,14,0,0,2021
050605,8,1,0,2021
050606,8,1,0,2021
050607,4,0,0,2021
050608,11,0,0,2021
050609,3,0,0,2021
050610,4,0,0,2021
050611,15,1,0,2021
050612,3,1,0,2021
050613,7,1,0,2021
050614,3,1,0,2021
050615,2,1,0,2021
050616,6,1,0,2021
050617,6,1,1,2021
050618,5,1,0,2021
050619,18,1,0,2021
050620,10,0,0,2021
050621,5,0,0,2021
050701,98,1,0,2021
050702,3,1,0,2021
050703,7,1,0,2021
050704,8,0,1,2021
050705,19,0,0,2021
050706,4,0,0,2021
050707,8,0,0,2021
050708,13,1,0,2021
050801,32,0,0,2021
050802,1,1,0,2021
050803,0,0,0,2021
050804,6,0,0,2021
050805,9,0,0,2021
050806,6,0,1,2021
050807,1,1,0,2021
050808,7,1,0,2021
050809,3,1,0,2021
050810,1,1,0,2021
050901,32,1,0,2021
050902,7,0,0,2021
050903,7,1,0,2021
050904,5,0,0,2021
050905,5,0,0,2021
050906,5,1,0,2021
050907,5,0,1,2021
050908,10,1,0,2021
050909,18,0,0,2021
