ANO_EJE,ubigeo,gasto_total,gasto_anemia_pan
2021,010101,745299708.0600001,44747568.78
2021,010102,976582.75,0.0
2021,010103,1303334.7,16060.0
2021,010104,2132187.2,0.0
2021,010105,1380533.45,5584.48
2021,010106,7363332.899999999,8750.0
2021,010107,1366421.08,0.0
2021,010108,985610.43,370.0
2021,010109,2903867.48,2962.0
2021,010110,7683791.42,0.0
2021,010111,1576354.1,12261.0
2021,010112,2047923.49,602.0
2021,010113,2907461.07,1500.0
2021,010114,7082862.7,12603.0
2021,010115,1782608.69,0.0
2021,010116,1012067.17,0.0
2021,010117,2372047.21,4203.0
2021,010118,527272.16,0.0
2021,010119,7433945.109999999,571.0
2021,010120,639062.41,13836.0
2021,010121,1277580.5,0.0
2021,010201,127023475.57,12978542.87
2021,010202,7860632.359999999,44843.5
2021,010203,2240450.1,0.0
2021,010204,5213195.34,2071.8
2021,010205,12125874.21,193878.0
2021,010206,123696944.67999999,0.0
2021,010301,8761381.31,24779.36
2021,010302,2073136.26,0.0
2021,010303,726783.06,0.0
2021,010304,1526510.61,4323.0
2021,010305,897478.05,79.3
2021,010306,11156654.03,0.0
2021,010307,4079986.31,0.0
2021,010308,1267600.09,5293.0
2021,010309,5741314.9,0.0
2021,010310,3241162.4499999997,0.0
2021,010311,963300.86,5747.0
2021,010312,3983021.99,0.0
2021,010401,179107129.18,11060326.540000001
2021,010402,8269940.83,113307.0
2021,010403,11300006.95,143600.0
2021,010501,32730326.06,33203.86
2021,010502,9294731.58,0.0
2021,010503,1979194.37,16283.0
2021,010504,955103.47,978.0
2021,010505,1369948.18,0.0
2021,010506,1029062.23,2075.0
2021,010507,6835800.6,4323.0
2021,010508,2470895.7600000002,1860.0
2021,010509,2338248.2,7500.0
2021,010510,1653450.54,0.0
2021,010511,4218284.4,44419.83
2021,010512,2873631.42,62928.74
2021,010513,6749415.1,15107.0
2021,010514,14474330.94,64280.24
2021,010515,1606999.18,11898.0
2021,010516,1545859.81,20000.0
2021,010517,885254.75,0.0
2021,010518,1712171.66,4323.0
2021,010519,1397931.27,4963.0
2021,010520,4908922.49,15168.0
2021,010521,2655706.36,587186.15
2021,010522,826357.92,0.0
2021,010523,1638758.72,1758.0
2021,010601,11803081.74,0.0
2021,010602,1769368.13,39435.0
2021,010603,1102997.58,0.0
2021,010604,11656751.07,4598.0
2021,010605,7870484.26,20869.0
2021,010606,812373.22,0.0
2021,010607,897064.29,0.0
2021,010608,735010.36,133.6
2021,010609,6113582.77,47282.0
2021,010610,1824529.7599999998,5222.1
2021,010611,2517967.29,4323.0
2021,010612,4684654.02,7343.0
2021,010701,269747146.58,17102984.92
2021,010702,14729554.24,150594.36
2021,010703,7244422.9,0.0
2021,010704,7434700.96,0.0
2021,010705,9679745.25,48681.06
2021,010706,9554763.44,40781.2
2021,010707,2594606.31,259878.8
2021,020101,844600246.14,3490989.57
2021,020102,6970582.72,15152.0
2021,020103,5351860.4799999995,0.0
2021,020104,3497117.5300000003,4321.5
2021,020105,107466258.92999999,367537.0
2021,020106,4745585.71,0.0
2021,020107,10755724.69,13538.0
2021,020108,2158493.02,5500.0
2021,020109,4572268.95,29519.0
2021,020110,9950154.76,30449.5
2021,020111,11480611.95,36237.0
2021,020112,5390545.43,41619.0
2021,020201,42946426.28,0.0
2021,020202,8337079.65,9523.0
2021,020203,1144218.87,0.0
2021,020204,5627490.9799999995,8934.0
2021,020205,2271811.6,0.0
2021,020301,50134776.1,0.0
2021,020302,1529375.44,250221.96
2021,020303,4206047.15,7963.0
2021,020304,7562358.100000001,0.0
2021,020305,10914951.07,241835.99
2021,020306,1694676.4,7795.2
2021,020401,25704624.15,0.0
2021,020402,2175689.79,20369.0
2021,020501,52682342.08,0.0
2021,020502,670660.15,0.0
2021,020503,2131121.13,24897.8
2021,020504,3990099.83,0.0
2021,020505,1883480.07,0.0
2021,020506,835346.52,0.0
2021,020507,6945457.819999999,0.0
2021,020508,7639721.21,0.0
2021,020509,4306851.96,0.0
2021,020510,2241702.39,131104.53999999998
2021,020511,2503974.7199999997,0.0
2021,020512,4340006.8100000005,0.0
2021,020513,1471248.43,0.0
2021,020514,3866535.02,0.0
2021,020515,2286415.5100000002,234999.0
2021,020601,76361534.47,4750.0
2021,020602,5855820.08,29850.0
2021,020603,1857686.56,0.0
2021,020604,2883263.0,9357.0
2021,020605,2164894.25,11409.0
2021,020606,7940325.98,0.0
2021,020607,1589827.02,0.0
2021,020608,3893579.11,8730.0
2021,020609,1540127.0,7567.5
2021,020610,2231905.23,38000.0
2021,020611,2633946.9699999997,20534.2
2021,020701,48408893.44,0.0
2021,020702,4842362.28,113042.5
2021,020703,6344173.25,107473.0
2021,020801,84625769.81,126781.0
2021,020802,9183511.73,0.0
2021,020803,8424297.62,0.0
2021,020804,20372844.16,0.0
2021,020901,20767050.73,0.0
2021,020902,1274466.53,0.0
2021,020903,870495.0599999999,0.0
2021,020904,3170125.01,0.0
2021,020905,3543377.03,0.0
2021,020906,3074335.14,4488.0
2021,020907,1247443.55,0.0
2021,021001,176070452.6,8597678.74
2021,021002,9549322.24,10823.0
2021,021003,23097168.15,7718.0
2021,021004,49748892.09,795496.51
2021,021005,18487702.32,0.0
2021,021006,8070064.9799999995,0.0
2021,021007,17259418.9,0.0
2021,021008,16582208.58,29803.54
2021,021009,7824996.56,0.0
2021,021010,5995785.390000001,0.0
2021,021011,13174802.18,33619.45
2021,021012,2920767.69,177300.0
2021,021013,9158030.03,10000.0
2021,021014,282648530.51,1971532.07
2021,021015,17664156.31,0.0
2021,021016,4718866.01,18400.0
2021,021101,75794666.88,69321.0
2021,021102,4971785.92,61453.060000000005
2021,021103,3810082.49,0.0
2021,021104,1062057.56,0.0
2021,021105,1380004.03,12243.310000000001
2021,021201,138764810.26,2557246.2399999998
2021,021202,6911034.449999999,0.0
2021,021203,2261703.45,4163.0
2021,021204,1299441.6300000001,4323.0
2021,021205,4876751.76,62000.0
2021,021206,14476990.89,71266.44
2021,021207,8991631.9,54690.0
2021,021208,10203251.73,65545.0
2021,021209,3677263.54,5697.0
2021,021210,5797130.75,19683.0
2021,021301,57391334.78,0.0
2021,021302,8377521.05,34097.0
2021,021303,89647496.76,1149507.17
2021,021304,6992617.49,30144.8
2021,021305,2336033.25,4323.0
2021,021306,8309335.86,391953.92000000004
2021,021307,4249579.57,35798.8
2021,021308,1866943.55,17826.5
2021,021401,21618997.65,0.0
2021,021402,2131508.74,0.0
2021,021403,1014474.87,0.0
2021,021404,1443424.05,0.0
2021,021405,1805793.86,4323.0
2021,021406,2031494.74,15000.0
2021,021407,1176275.43,0.0
2021,021408,1763140.15,0.0
2021,021409,4542099.96,0.0
2021,021410,4183613.34,0.0
2021,021501,58139835.41,0.0
2021,021502,2270038.52,4090.0
2021,021503,8032097.44,0.0
2021,021504,1406669.77,0.0
2021,021505,1770166.1,0.0
2021,021506,4516611.34,0.0
2021,021507,6158838.3,0.0
2021,021508,4546600.99,0.0
2021,021509,14263575.07,0.0
2021,021510,840760.7,7591.0
2021,021511,2490668.56,0.0
2021,021601,128914697.94,8288144.12
2021,021602,2857641.89,7235.4400000000005
2021,021603,11401289.21,31151.0
2021,021604,3279795.55,11505.0
2021,021701,138214587.23,15180491.25
2021,021702,4730693.53,94722.03
2021,021703,906313.3099999999,0.0
2021,021704,3533111.33,0.0
2021,021705,1866730.83,0.0
2021,021706,5169747.6899999995,0.0
2021,021707,1354890.28,0.0
2021,021708,4695976.82,6339.0
2021,021709,2124974.25,0.0
2021,021710,2987719.0,9141.0
2021,021801,676750460.48,8810536.18
2021,021802,8538802.72,14647.0
2021,021803,28173201.529999997,49770.0
2021,021804,15740003.51,8706.0
2021,021805,20718372.35,0.0
2021,021806,17077584.76,0.0
2021,021807,9659961.79,0.0
2021,021808,25836326.11,0.0
2021,021809,250621587.97,14455292.34
2021,021901,71544088.01,0.0
2021,021902,2408445.37,0.0
2021,021903,2392930.83,0.0
2021,021904,6521439.51,1579303.78
2021,021905,8737137.12,0.0
2021,021906,8204830.23,14223.2
2021,021907,11321555.24,18717.0
2021,021908,6903141.81,6861.0
2021,021909,22671336.1,66595.0
2021,021910,4418196.9399999995,10749.2
2021,022001,99088563.25,0.0
2021,022002,2233935.79,71311.68
2021,022003,6234773.04,0.0
2021,022004,1978642.69,6331.0
2021,022005,24680596.96,53307.2
2021,022006,4374498.25,0.0
2021,022007,5941462.6899999995,4323.0
2021,022008,12380082.92,210429.88999999998
2021,030101,881700592.96,32836530.63
2021,030102,2156488.51,0.0
2021,030103,5373726.3,19843.9
2021,030104,34253332.46,1743856.5
2021,030105,10015795.620000001,62173.2
2021,030106,3884052.09,0.0
2021,030107,4402964.49,340993.23
2021,030108,3953838.11,62337.0
2021,030109,7967002.8,255105.85
2021,030201,199469559.7,6149750.63
2021,030202,11660566.33,44448.35
2021,030203,2494311.24,6192.0
2021,030204,5042841.86,0.0
2021,030205,3730733.3,75869.0
2021,030206,3335513.79,13780.0
2021,030207,9158349.36,81955.28
2021,030208,3871922.67,54934.0
2021,030209,6873165.99,52354.58
2021,030210,3547934.39,13019.9
2021,030211,1657845.81,775.0
2021,030212,4011869.13,0.0
2021,030213,19426539.24,1134025.55
2021,030214,2883936.56,2500.0
2021,030215,5540024.94,40806.55
2021,030216,12170688.97,128877.62
2021,030217,6377018.04,30875.1
2021,030218,12064900.52,23742.5
2021,030219,2081904.8,5850.0
2021,030220,7374424.07,9065.38
2021,030301,50284845.74,3823887.49
2021,030302,1467137.92,0.0
2021,030303,5549466.77,4340.0
2021,030304,8726579.290000001,129.0
2021,030305,4290369.96,0.0
2021,030306,2357654.05,0.0
2021,030307,3621879.79,0.0
2021,030401,66587193.2,3533661.61
2021,030402,1755582.8900000001,0.0
2021,030403,1385322.75,5158.0
2021,030404,2822135.04,0.0
2021,030405,1532685.09,0.0
2021,030406,10524876.72,70914.0
2021,030407,1423272.75,4322.8
2021,030408,2680458.31,5523.0
2021,030409,1981927.21,5819.2
2021,030410,1398593.97,1083.0
2021,030411,1460541.74,0.0
2021,030412,1174849.02,0.0
2021,030413,1230661.51,7043.0
2021,030414,3307314.79,372495.41000000003
2021,030415,2882027.18,25696.0
2021,030416,2433358.69,5377.1
2021,030417,3148791.46,0.0
2021,030501,183131553.93,6523811.0
2021,030502,18363093.28,0.0
2021,030503,19613487.66,185452.91
2021,030504,20632922.51,0.0
2021,030505,18616030.9,110757.1
2021,030506,152956659.44,40609875.86
2021,030601,154740831.44,8622776.13
2021,030602,7236935.96,0.0
2021,030603,3397889.78,70754.7
2021,030604,18237307.01,9962.65
2021,030605,19832150.95,92990.48999999999
2021,030606,3613233.0100000002,76842.70000000001
2021,030607,6750729.26,3662851.15
2021,030608,4660049.85,38458.5
2021,030609,7753507.84,19583.1
2021,030610,4934357.41,8950.8
