ubigeo,pct_agua_permanente,pct_agua_estacional
010101,0.019573978123200934,0.4485895221646519
010102,0.0,0.0
010103,0.14673928652555232,0.5818344173222383
010104,0.0,1.0
010105,0.0,0.0
010106,0.27101994986608313,0.6424507689942107
010107,0.5052937007957298,0.33137544554874326
010108,0.0,0.628198695434019
010109,0.0,0.590080971659919
010110,0.4232558139534884,0.5627906976744186
010111,0.0,0.27264692885550157
010112,0.0,0.15008194802154062
010114,0.5544475767754319,0.29260136756238003
010116,0.0,0.18146678242176198
010117,0.0,0.0
010121,0.0,0.7458508793658658
010201,0.09303254729545081,0.36051430884128277
010202,0.021433366485675707,0.8894960233352263
010203,0.039554739260018616,0.3445075649714298
010204,0.0,0.29344073647871116
010205,0.05224868615477415,0.6430720647873661
010206,0.0,0.0
010301,0.0,0.7732769044740024
010302,0.0,0.1409952606635071
010303,0.14710588880760794,0.44399231894659846
010304,0.0,0.0
010305,0.0,1.0
010306,0.9506165917916142,0.03225761893270346
010307,0.1284798879974153,0.4056324376716385
010308,0.0,0.0
010309,0.010572139303482586,0.19054726368159203
010310,0.05754530619256205,0.7050244782272609
010311,0.039148589469396075,0.5680008147469193
010312,0.007169164159802074,0.29527718759915333
010401,0.17587354279022735,0.47969837482915123
010402,0.2042484831529436,0.35822922312951333
010403,0.5774157212477973,0.2521398156024633
010501,0.03280787742305824,0.7302070914469907
010502,0.0,0.971209471276739
010503,0.29690583957854133,0.6646583067448243
010504,0.0,0.25377747252747257
010505,0.0,0.11025008805917576
010506,0.0,0.5500719989527424
010509,0.0741020574218296,0.2115541090317331
010510,0.0,0.42553191489361697
010512,0.0,1.0
010513,0.07437123970066103,0.8969908605319881
010514,0.20436941133933176,0.7710671357780899
010515,0.008929259256665429,0.9472508386500361
010516,0.12933976697657995,0.40467223726020946
010518,0.08286807823308402,0.3729063520488782
010519,0.0,0.01886792452830189
010520,0.0,1.0
010521,0.0,1.0
010522,0.0,0.3531762436268431
010601,0.09941459431416672,0.8904091086300524
010602,0.0,0.603870337586228
010605,0.26139802792150735,0.6236454163819193
010606,0.0,1.0
010607,0.0022600906399749474,0.9966098640400376
010608,0.0,0.37415546304511016
010609,0.0,1.0
010611,0.0,0.022923820996422085
010612,0.08500772797527048,0.6907900718247113
010701,0.11031675757105774,0.24384889212397431
010702,0.06899615107100476,0.2905489978267166
010703,0.010859768724115565,0.6133457661793323
010704,0.02255424907370761,0.3826232440167082
010705,0.08409215305767026,0.3396756500204775
010706,0.002397221488164899,0.9271018158480879
010707,0.029254022428083858,0.8098660624659424
020101,0.6101246515230246,0.29216546704311724
020102,0.4367816091954023,0.5632183908045977
020104,0.0,1.0
020105,0.6921859856923627,0.23985613525243615
020106,0.17501149480918615,0.4802894271955086
020107,0.27586206896551724,0.7241379310344828
020108,0.6868788698890433,0.2758016454283234
020109,0.011111111111111112,0.9888888888888889
020110,0.3914285714285714,0.5971428571428572
020111,0.13675213675213677,0.8547008547008547
020112,0.7278872583692216,0.24305586643865257
020201,0.3136241714974122,0.6831646595111468
020202,0.0,0.8989148208711164
020203,0.0,1.0
020204,0.4435375970029435,0.5564624029970564
020205,0.28881459966021816,0.6972105003562229
020301,0.16809881847475822,0.7269635126777981
020302,0.0,0.8447218172983478
020303,0.12342004741151749,0.8335783273465078
020304,0.025135869565217385,0.9244414251207728
020305,0.0,0.9566566098669953
020306,0.23592832461622704,0.6774041275655671
020401,0.8027448869752422,0.18945102260495156
020402,0.34903755552564275,0.5823125588908332
020501,0.15716771978237357,0.8188431929004846
020502,0.16431001761075117,0.5047446441089475
020503,0.0,1.0
020504,0.5316370775249636,0.40533593209327284
020505,0.06315789473684211,0.7473684210526316
020506,0.302604480753695,0.6538737242140474
020507,0.16666666666666666,0.16666666666666666
020508,0.4139698971790879,0.5419138997601313
020509,0.3891770780058937,0.6066827403131926
020510,0.5625,0.4375
020511,0.3317145505097312,0.6019462465245595
020512,0.07536786877336872,0.8791762151730792
020513,0.6877916414584619,0.2959153723127056
020514,0.12312892322549494,0.876871076774505
020515,0.08436026796791002,0.83127946406418
020601,0.5475293530446357,0.40934425060607493
020604,0.1922991661408864,0.44794775164981326
020605,0.12841469700316616,0.6376997275605623
020606,0.6863606987179783,0.2905198216078214
020607,0.0921969345099861,0.5058058522991177
020608,0.7878038435746506,0.18661913304637395
020609,0.8775280898876404,0.11685393258426967
020610,0.12504762630496075,0.7758134572887296
020611,0.30246625213441153,0.3950674957311769
020701,0.5889868851272275,0.40793648878539623
020702,0.20010982621616377,0.703043592267322
020703,0.0,0.7529176025014312
020801,0.3054758945372986,0.619294785887385
020802,0.24509803921568626,0.7401960784313726
020803,0.27136432999277177,0.6401720655753166
020804,0.13264945171559958,0.5065440396179696
020901,0.4485356699362364,0.5514643300637636
020902,0.2951662190943606,0.7048337809056393
020903,0.42137458252768506,0.5673455038545564
020904,0.46267099254105226,0.5328982360896464
020905,0.6128753827112241,0.37558356676003757
020906,0.03571428571428571,0.9642857142857143
