ubigeo,n_edificios,area_construida_m2,confianza_media,area_distrito_km2,densidad_edificios_km2
010101,16298,1306565.4304802003,0.7831852498676517,153.79560211475933,105.97182088366054
010102,302,21432.99950838089,0.7882311249410869,35.00258068893869,8.62793525665484
010103,1499,97138.84756755829,0.7867907942574052,318.26842092935345,4.70986092689584
010104,772,53120.837924957275,0.7735716308336802,70.59641220672621,10.935399914366274
010105,732,42724.67749500275,0.7987218574910867,142.19482433679335,5.147866692153525
010106,1324,102811.0364484787,0.7908623860951997,184.500393309975,7.176136463707029
010107,432,38722.75330209732,0.807308103337332,171.84092525947565,2.5139529442575475
010108,585,41305.39519357681,0.7940099137461084,46.40689589174544,12.605885154754684
010109,2729,177920.52878284454,0.7979783074634772,124.53993660563086,21.91264966387186
010110,2319,177727.54661941528,0.7851434670783878,382.12892139605316,6.068632522050062
010111,773,48712.329281806946,0.7969899095816569,75.11933706223608,10.290293155270692
010112,1682,106895.69666671753,0.7811126637047735,135.9238667347826,12.37457438789578
010113,1644,155613.7299261093,0.7929630175124119,79.16568117988972,20.766574297065755
010114,2792,212444.8895125389,0.7915261101116423,341.6644535889091,8.171760248021986
010115,613,61474.583647727966,0.7917314831039839,123.49292106425354,4.963847277375966
010116,296,24627.712874889374,0.8110206096961692,107.21086030039017,2.7609143250100643
010117,752,54125.05872821808,0.8055878997324629,82.7994241912447,9.082188763331006
010118,1105,82520.30610322952,0.7819345698637121,40.55677319420609,27.245757316754666
010119,692,33163.004376888275,0.7871926301132047,108.37656657812917,6.385144149230212
010120,528,37538.18508434296,0.778993750611941,75.05367743322965,7.034965081754017
010121,504,30336.939468860626,0.7835940480941818,120.63401404349767,4.177926134649469
010201,18890,1626678.2637535618,0.7939576335562922,133.54887578379487,141.4463423157633
010202,5709,471150.67878723145,0.7945858817172355,775.0165071995133,7.36629471368192
010203,2289,183962.9456396103,0.7856465263781249,99.36789130043067,23.03561009541197
010204,1055,77805.87689685822,0.796128624762404,18.24462737928108,57.82524236138013
010205,5720,341313.1767752365,0.7798349650381329,4605.11582172457,1.242096881258877
010206,3477,301800.8635456871,0.7849802698491118,138.6675671849073,25.074356394841544
010301,1384,99712.13728761673,0.7627336705006615,159.29756120506283,8.68814305460951
010302,345,27144.431270599365,0.7763698550238125,162.47486365896827,2.1234053824113284
010303,634,42657.06430387497,0.7677881706400248,31.94166147278527,19.84868572162962
010304,274,15200.963623046875,0.7658302910136481,64.4485311431688,4.251454534957894
010305,1900,121861.37375092506,0.7836011578848487,96.84655543085664,19.61866368449728
010306,5329,359321.1120669842,0.7978048982707929,222.95812938587332,23.90134871815823
010307,3835,303073.02643203735,0.7845983311747634,76.06520559078496,50.41726989645575
010308,228,17678.02326440811,0.780564472079277,28.164912056973343,8.095178835949874
010309,686,52506.23712205887,0.7921215751949622,112.90315065143562,6.076004044545033
010310,1813,126863.58671267546,0.7868911195577211,125.87249543451571,14.403464344942622
010311,1284,81221.56123256683,0.7875275708433253,78.34138393431586,16.38980492196245
010312,4858,316188.09038645326,0.803065912021242,1686.6822291046724,2.880210579190564
010401,9872,684841.5040392876,0.8037108794349809,4200.773584083927,2.350043343779218
010402,5816,363466.3553366661,0.799133287560825,5633.70844465879,1.0323572930924456
010403,3491,208686.84627628326,0.8008559437714617,8110.330618158637,0.4304386793041236
010501,2640,227841.47126907195,0.7873046971631773,73.41009804343433,35.962354912508076
010502,6054,415805.1965317726,0.7894633798403121,219.65609283950474,27.561265985111792
010503,1668,110638.79490756989,0.8038304558189081,342.44336560244295,4.870878421211559
010504,2643,164047.83975958824,0.8003345443090164,108.04974694443564,24.46095502064579
010505,289,16071.110511302948,0.7893993076981145,249.66023361307128,1.1575732178793774
010506,1496,79660.64796590805,0.7868519384354193,118.99333756759842,12.572132445231597
010507,1057,65798.62510633469,0.8077468312113716,58.902236220329485,17.944989321732876
010508,3083,179955.4448428154,0.7913626664612071,69.79296100589703,44.17350912708099
010509,5772,441902.6378218476,0.7952335069700818,83.34497433149943,69.25432572625472
010510,470,35668.938889980316,0.7933427654682321,68.00991680704044,6.910756872905706
010511,626,38617.59467124939,0.8000992018574724,88.05990836075354,7.108796859468401
010512,1800,133812.59347248077,0.7920083333386315,172.61995323331223,10.427531500759528
010513,4372,298834.36838436127,0.7947578453352335,365.2988333356168,11.968283501149983
010514,1734,132114.65075540543,0.8144803922687848,291.9557959489335,5.939255271038692
010515,599,38974.80691242218,0.8002719542817003,116.90705640406271,5.123728356735734
010516,411,31669.980513095856,0.8024459852499394,35.68541584200961,11.517310091596643
010517,1353,107232.82954835892,0.7920022916106586,182.49715222516653,7.4138143171168895
010518,1961,152929.08549769747,0.784576950177801,208.6903054378111,9.39669907466962
010519,1190,77623.037129879,0.7962170586365611,86.66440419249638,13.731127688327582
010520,837,52838.0848736763,0.7797241352649857,165.3670851309098,5.061466732254513
010521,1709,154778.2621665001,0.8000947335716435,90.32232262412262,18.921125479822116
010522,2572,163050.94866538048,0.7790147357418971,109.44783746846083,23.499779068190026
010523,960,101521.02710461617,0.7979084378108382,14.04390250390416,68.35706811074223
010601,3228,368427.6099196175,0.7844822798962929,102.58619065382243,31.466223469520386
010602,1210,85897.07706737518,0.7795661153379551,154.40612812087093,7.836476535781001
