ubigeo,pct_cultivo,pct_construido,pct_desnudo,pct_agua_visible
110304,4.888787994529598e-06,0.0024875077044379463,0.9904488733680006,0.006289374339901422
110104,0.01792120338965202,0.00041765316656099116,0.9546882405740874,0.0038942202668960776
110111,0.02500610135714528,0.0012605842469422491,0.9401120632231722,0.0015061478379741228
110302,0.0163952890270091,0.0004966915025736701,0.9504919229190402,0.0016982359437425665
110402,0.014359020375098997,0.002262269873060315,0.9402401232753101,0.00022284114068782106
110401,0.027105227837625374,0.0071378191542708115,0.862803912003445,0.00018295333106512203
110404,0.007350145871692223,0.0014651580622206072,0.9450914957226131,7.185896801933738e-05
110403,0.022250817442692153,0.0021754568792790767,0.7164234469544365,0.0003987101596039376
110405,0.004074277088969708,0.0015834404562842337,0.22452250520125805,0.00015590844599000668
090603,0.009189438168178014,0.005391491852524878,0.00497052893710922,0.00012722686089324371
090605,0.0008793331852442328,0.0020875433933035268,0.1510238153647415,3.976883752360852e-05
090612,0.0029313193189676344,0.0022246815976263447,0.027136681905021626,0.0004634295657158699
110114,0.00042638051526812186,0.0005823507257957098,0.6490420695755009,1.095583050328075e-05
110107,0.09427660821893466,0.03705541049358273,0.45882778689913833,0.0030525024700815626
110105,0.3102549675470611,0.016453765340646204,0.3761246358374836,0.0054454192670649855
110113,0.04154411123921957,0.0878775891126943,0.08830170263357069,0.0
110110,0.19051304392969065,0.040202664076317646,0.34475566007340025,0.002035575345814755
110106,0.06512547083232462,0.2737103305383192,0.3842482962087433,0.0004455688613570264
110103,0.07825933906152979,0.018761941719118075,0.7445857762925399,0.000804028520715896
110102,0.17525628153912642,0.03994630283433094,0.6053105556348313,0.00057705805281675
110109,0.03561644049042518,0.003456446047582244,0.7881048585831968,0.0031213978134806194
110108,0.12338287647520936,0.0071821152998210284,0.7486823375126729,0.00024246868867032714
110112,0.02101431660922722,0.013310048816429153,0.9203316996785743,0.00016026316414648883
110101,0.008623339085189901,0.016454625023255814,0.9600872867845278,0.001044283306462926
110505,0.004132100321369295,0.002995932118720739,0.9775399066112844,0.011732689101186047
150142,0.0005176868735417853,0.8494859927635496,0.1256502172508493,0.0014170409322830048
070105,0.0,0.5415716286074099,0.0364065485993078,0.3558048806263265
150139,0.0,0.31642876773420026,0.6435933392996822,0.037410819359560414
070106,0.00037612045502679567,0.3580264148484547,0.5886656469623222,0.02033275944958177
150125,0.0026305010048683726,0.5858008021561593,0.38363729105774996,0.00015753012929613838
070107,0.0,0.724478292264066,0.2751946584515305,0.0
150102,5.889329825499651e-05,0.0449017242967926,0.9286871334387086,0.011479189153990245
150106,0.02450214426966501,0.12439340981370425,0.7765813517639655,0.0006259021614411829
150110,0.0015389514441070695,0.5820354293040836,0.3799620043782785,0.00022135900248978246
150132,0.0,0.30644180741514987,0.6686350902762351,0.00030285723019330785
150137,0.0,0.918989971385146,0.07075185096186812,0.0011439382601286386
150111,0.0,0.6994630607188558,0.24704215526701645,0.02604768841386221
150128,7.303250433326191e-05,0.6821115615895995,0.2646027776409412,0.0012885224980209622
150112,0.0,0.55676765002918,0.36144425690433035,0.00038985920513277513
150135,0.010315698320996271,0.865035334321442,0.08552924075766734,0.0028033450289094096
150117,4.4918604845748674e-05,0.9280069262727159,0.0632645961244933,0.0
070101,0.003839660399201323,0.7657529791180254,0.1676690450741739,0.037457524309913504
070104,0.0,0.9256351241804658,0.06847465903111269,0.00277326102311999
070102,0.0001761004725707976,0.9785620118822932,0.004121441648245176,0.0
070103,0.0,0.9733707237754745,0.014934519900401415,0.0096297362885128
150105,0.0,0.9996817413118498,0.0,0.0
150101,8.636372642206767e-05,0.9707834900326946,0.00856406418890829,0.004108034586809685
150113,0.0,0.9498526822654195,0.00021910774172094968,0.0
150120,0.0,0.8594491379902466,0.08607001396616068,0.027283925178011315
150121,0.0012560380128000942,0.9845121482683095,0.00041867933760003146,0.00041867933760003146
150136,0.0002617512630781538,0.8975009426467055,0.05717947787979423,0.0015705075784689226
150108,0.0008605732750168384,0.6024720744416309,0.2418622983292266,0.049887317299139186
150104,0.0,0.8217454644304527,0.049181520413652376,0.11240478510483931
150122,0.0,0.8206268442327034,0.021184794513020327,0.09679913406525435
150131,5.217457760637737e-05,0.8880443792548004,0.002781051957061059,0.0010232830889701477
150116,0.0,0.9534387766528308,0.0,0.0
150115,0.0,0.9809250762465668,0.011908400943370801,0.0
150134,0.0,0.9826529560161299,0.0012060352843358251,0.0
150130,0.0,0.9330954817495746,0.0017323976598150235,0.0
150141,0.0,0.9869190485952117,0.0,0.0
